"Bill of Material for "
"On 2018. 02. 26. at 10:49:17"

"Comment","Pattern","Quantity","Components"

"100K","C1206","2","R14, R15","SMD ellenállás"
"100nF","C1206","18","C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C23, C25, C26, C27, C28, C30, C31","SMD KERÁMIA"
"100uF/35V","SMD Elkó","1","C2","SMD elkó/40V"
"10k","C1206","1","R9","SMD ellenállás"
"10k","Potméter","1","R18","Potentiometer"
"10nF","C1206","1","C5","Capacitor (Semiconductor SIM Model)"
"1K","C1206","1","R3","SMD ELLENÁLLÁS"
"1M","c1206","1","R10","SMD ellenállás"
"1uF","C1206","4","C1, C4, C6, C29","Szûrõkondi"
"20k, 0.1%","C1206","2","R8, R17","SMD ellenállás"
"20pF","C1206","4","C20, C21, C22, C24","SMD kerámia"
"22pF","C1206","2","C7, C8","SMD kerámia"
"24MHz","8 MHz SMD kristály","1","Y1","SMD kristály"
"330mH","SMD tekercs","1","L1","Inductor"
"330R","C1206","4","R1, R4, R12, R13","SMD ellenállás"
"330uF","SMD Elkó","1","C3","LDO kimeneti polárkondi"
"41.2k, 0.1%","C1206","2","R6, R11","SMD ellenállás"
"4K7","C1206","1","R5","SMD ellenállás"
"500R, 0.1%","C1206","2","R7, R16","SMD ellenállás"
"680R","C1206","1","R2","Resistor"
"D Connector 9","DSUB1.385-2H9","1","J1","Receptacle Assembly, 9 Position, Right Angle"
"D Schottky","Schottky dióda","1","D3","Schottky Diode"
"Diode","C1206","4","D5, D6, D7, D8","Default Diode"
"Diode","Dióda MiniMelf SOD80","1","D2","Diode"
"HCPL-061N","HCPL-061N","1","U5",""
"HCPL-072X","SOIC127P600X330-8N","2","U8, U11","Optocoupler"
"Header 3","SORKAPOCS-3","2","P3, P5","Header, 3-Pin"
"Header 3X2","HDR2X3","1","P4","Header, 3-Pin, Dual row"
"Header 4","HDR1X4","1","P2","Header, 4-Pin"
"JUMP-2","HDR1X2","2","J3, J4",""
"LCD_1602A","LCD","1","DISP1",""
"LED","c1206","1","D9","Piros felhasználói LED"
"LED0","C1206","2","D1, D4","Typical INFRARED GaAs LED"
"LM2575S-5.0","TS5B_N","1","U1","SIMPLE SWITCHER® 1A Step-Down Voltage Regulator, 5-pin TO-263"
"LP3985IM5-5.0/NOPB","MF05A_N","1","U4","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator, 5-pin SOT-23, Pb-Free"
"MAX31180","MAX31180AUA+ -  Clock Generator","1","U10",""
"MCP1825S-3302E/DB","SOT-223-DB3_N","1","U2","500 mA, Low Voltage, Low Quiescent Current LDO Regulator, 3-Pin SOT-223, Extended Temperature"
"NAND2","NAND gate DIP14","1","U7","2-Input NAND"
"Nyomógomb","Switch","2","S2, S3","4 lábas, SMD, tactile"
"R1SE-3.305/H2-R","Isolated DC/DC converter","1","U3","Isolated DC/DC converter 3.3-5V"
"SN75176BD","D008_L","1","U9","Differential Bus Transceiver"
"Sorkapocs","SORKAPOCS-2","1","P1","12V input"
"STM32F103C8T6","LQFP48_N","1","U12","STM32 ARM-based 32-bit MCU with 64 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"SW DIP-8","DIP switch","1","S1","DIP Switch, 8 Position, SPST"
"VPC3+S-QFP48","TSQFP50P900X900X160-48N","1","U6","pROFIBUS CONTROLLER"
"XTAL","32.768 MHz SMD kristály","1","Y2","32.768 KHz kristály"
"XTAL","8 MHz SMD kristály","1","Y3","8 MHz kristály"
